Mercafar_GMID;Quantity;Expiry
5251780;595;
5251780;300;
5251582;276;
5251582;106;
5251582;250;
5251582;28;
5064431;444;
5064431;200;
2553188;421;
2553485;139;
2553485;200;
8520825;2518;
8520825;4221;
8520825;2184;
8520825;4;
8520825;3285;
8520825;5670;
8520817;1961;
8520817;368;
8520809;10;
8520809;2017;
3080983;122;
3080983;45;
2805984;174;
2806289;1265;
8287607;51;
8287607;25;
8468009;223;
2282283;5;
2282283;38;
8270173;400;
8270173;200;
9729400;185;
5169578;153;
5169578;129;
5169578;64;
5169602;279;
5169602;100;
5169602;300;
4389086;430;
4590287;50;
4590287;27;
8782516;76;
8782516;89;
9241307;598;
9241307;994;
4580684;33;
9905604;177;
9905604;123;
9905604;321;
9905604;646;
9905604;3170;
5354063;281;
2850881;639;
2850881;20;
2850881;199;
5354105;10;
5354105;4298;
5354105;290;
5354105;165;
2851889;290;
2851889;540;
2851889;450;
2851889;560;
2851889;230;
5354055;604;
5354055;942;
2850386;362;
2850386;300;
2850386;1440;
2850386;858;
3885985;228;
3271780;102;
3271780;180;
5064571;130;
5064571;10;
5064571;10;
5064571;2519;
5064571;200;
5064571;500;
5064571;2191;
8113845;39;
8113845;10;
8113845;91;
8113837;250;
8113837;689;
8113837;250;
8113704;85;
8113704;88;
8113704;180;
9434126;469;
9434126;290;
9434126;200;
2046688;51;
2046688;88;
2529683;835;
2529683;279;
2308682;150;
2308682;120;
2529782;100;
2529782;275;
2529782;245;
2842185;100;
2842185;100;
3136587;104;
3136280;105;
2046787;100;
2046787;50;
2046787;754;
2046787;1168;
2308781;522;
2308781;94;
2308781;4;
2308781;60;
2308781;960;
2308781;500;
2529584;2088;
2841781;599;
2841781;350;
2841989;1846;
2841989;500;
5490578;308;
5490578;848;
5490578;150;
9412809;53;
9412809;568;
9412809;90;
9412908;417;
9412908;3185;
9412908;1200;
6673483;100;
6673483;140;
9329714;78;
5413240;3;
5413240;2240;
9224931;2399;
9679712;1076;
9679712;369;
9679720;945;
9679720;60;
9679720;42;
9679720;258;
9679704;282;
9679704;69;
5593322;106;
5593322;6;
9295436;2000;
9295436;1;
9295436;3578;
9295436;10217;
9295436;1834;
2733285;1473;
2733285;667;
9618801;1289;
9138230;1010;
9138222;1021;
9138222;1498;
9138222;102;
9662502;702;
9662502;629;
5594452;2100;
5594452;739;
5593108;148;
8181602;101;
5201165;15;
8250704;20;
8250704;208;
8250704;167;
8250704;90;
8250704;910;
8250704;355;
8193417;459;
8193516;392;
8193516;155;
8696641;4;
8768812;191;
8768812;86;
8768812;144;
5349964;110;
5349964;97;
2595189;105;
5842497;200;
5842398;199;
4600284;110;
4600284;150;
4600284;500;
4600284;452;
4586491;254;
4586491;57;
4974986;239;
4974986;213;
4974986;48;
