Mercafar_Gmid,Quantity,Expiry
159086,340,
158893,286,
191379,133,
190107,5400,
190106,670,
190104,770,
515284,1,
250545,330,
227380,5978,
188840,60,
272453,130,
519330,20,
192775,4,
192775,76,
278343,200,
632293,2799,
632293,100,
389146,192,
29649,50,
298191,270,
58604,240,
272773,40,
600314,80,
600315,1070,
592632,134,
329051,140,
329051,340,
328226,250,
328228,100,
328228,130,
296329,35,
296331,35,
611613,50,
611618,2430,
328216,290,
611633,515,
611635,400,
436427,842,
335666,1446,
192768,1685,
480578,35,
190071,140,
511532,1268,
411383,5037,
192636,310,
196179,80,
192637,170,
569252,20,
188850,2360,
592735,1260,
592735,120,
421873,136,
592781,1140,
592782,2020,
316979,200,
316979,700,
544575,588,
544575,200,
425957,64,
195146,332,
195146,244,
14820,550,
13196,200,
539414,50,
539414,1325,
323076,192,
