Mercafar_Gmid,Quantity,
5251780,340,
5251582,286,
2553485,133,
8520825,5400,
8520817,670,
8520809,770,
3080983,1,
2806289,330,
8270173,5978,
9729400,60,
4389086,130,
4590287,20,
8782516,4,
8782516,76,
4580684,200,
9905604,2799,
9905604,100,
5354105,192,
2851889,50,
3885985,270,
3271780,240,
5064571,40,
8113845,80,
8113837,1070,
8113704,134,
9434126,140,
9434126,340,
2529683,250,
2529782,100,
2529782,130,
3136587,35,
3136280,35,
2308682,50,
2308781,2430,
2529584,290,
2841781,515,
2841989,400,
5490578,842,
9412809,1446,
9412908,1685,
6673483,35,
9329714,140,
5413240,1268,
9224931,5037,
9679712,310,
9679720,80,
9679704,170,
5593322,20,
9295436,2360,
2733285,1260,
2733285,120,
9618801,136,
9138230,1140,
9138222,2020,
9662502,200,
9662502,700,
5594452,588,
5594452,200,
5201165,64,
8250704,332,
8250704,244,
8193516,550,
8768812,200,
4600284,50,
4600284,1325,
4974986,192,
